_date,total_clones,unique_clones
2022-04-04,261,19
2022-04-05,275,21
2022-04-06,212,14
2022-04-07,268,21
2022-04-08,229,16
2022-04-09,235,18
2022-04-10,229,16
2022-04-11,250,20
2022-04-12,265,19
2022-04-13,219,16
2022-04-14,265,18
2022-04-15,242,17
2022-04-16,225,18
2022-04-17,344,19
2022-04-18,346,18
2022-04-19,200,14
2022-04-20,179,13
2022-04-21,256,17
2022-04-22,219,16
2022-04-23,282,19
2022-04-24,207,15
2022-04-25,229,15
2022-04-26,256,16
2022-04-27,244,15
2022-04-28,222,15
2022-04-29,334,19
2022-04-30,43,18
2022-05-01,64,19
2022-05-02,124,20
2022-05-03,45,19
2022-05-04,85,20
2022-05-05,35,16
2022-05-06,45,15
2022-05-07,36,16
2022-05-08,71,22
2022-05-09,77,15
2022-05-10,42,18
2022-05-11,42,18
2022-05-12,46,18
2022-05-13,40,16
2022-05-14,41,15
2022-05-15,67,19
2022-05-16,130,17
2022-05-17,38,16
2022-05-18,38,18
2022-05-19,44,18
2022-05-20,49,18
2022-05-21,36,18
2022-05-22,67,18
2022-05-23,30,15
2022-05-24,51,16
2022-05-25,106,20
2022-05-26,46,16
2022-05-27,57,21
2022-05-28,46,21
2022-05-29,72,19
2022-05-30,34,15
2022-05-31,46,19
2022-06-01,35,16
2022-06-02,46,16
2022-06-03,50,15
2022-06-04,59,21
2022-06-05,68,20
2022-06-06,27,11
2022-06-07,37,14
2022-06-08,34,12
2022-06-09,26,10
2022-06-10,35,12
2022-06-11,39,17
2022-06-12,64,18
2022-06-13,82,19
2022-06-14,42,16
2022-06-15,39,16
2022-06-16,57,15
2022-06-17,46,14
2022-06-18,32,14
2022-06-19,71,20
2022-06-20,27,12
2022-06-21,57,20
2022-06-22,105,20
2022-06-23,31,11
2022-06-24,38,15
2022-06-25,41,17
2022-06-26,77,19
2022-06-27,104,24
2022-06-28,108,17
2022-06-29,54,20
2022-06-30,96,19
2022-07-01,54,19
2022-07-02,49,18
2022-07-03,68,19
